races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
15,0,0,0,0,0,0,0,10,0,3,0,0,311,0
2,0,0,0,0,0,0,0,6,0,0,0,0,45,0
17,0,0,0,0,3,0,0,49,2,5,4,0,345,0
18,0,0,0,0,5,0,0,18,1,5,0,0,345,0
17,0,0,0,1,2,0,0,19,17,3,15,0,233,0
19,0,0,0,0,5,0,0,41,10,2,47,0,231,0
19,0,0,0,0,2,0,0,39,13,1,42,0,220,0
19,0,0,0,0,0,0,0,40,16,3,29,0,241,0
19,0,0,0,0,2,0,0,8,17,5,0,0,279,0
1,0,0,0,0,1,0,0,4,0,0,0,0,20,0
15,0,1,0,0,1,0,0,31,3,2,37,0,233,0
11,0,0,0,0,1,0,0,15,0,2,8,0,239,0
14,0,0,0,0,3,0,0,75,0,3,22,0,243,0
15,0,0,0,0,5,0,0,28,0,7,9,0,218,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
5,0,0,0,0,0,0,0,24,0,2,12,0,81,0
1,0,0,0,0,0,0,0,9,0,0,6,0,16,0
1,0,0,0,0,0,0,0,0,1,1,0,0,27,0
1,0,0,0,0,0,0,0,9,0,1,0,0,30,0
1,0,0,0,0,0,0,0,10,0,0,0,0,23,0
1,0,0,0,0,0,0,0,0,2,0,0,0,30,0
1,0,0,0,0,0,0,0,0,5,1,0,0,22,0
1,0,0,0,0,0,0,0,14,0,0,0,0,28,0
1,0,0,0,0,0,0,0,0,19,1,0,0,8,0
1,0,0,0,0,0,0,0,10,0,0,0,0,21,0
1,0,0,0,0,0,0,0,10,0,0,0,0,28,0
1,0,0,0,0,1,0,0,0,0,0,0,0,15,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
13,0,0,0,0,1,0,0,52,0,2,46,0,186,0
15,3,6,2,5,6,2,2,7,2,4,126,2,72,0
16,2,4,5,9,1,0,0,6,12,3,116,1,45,0
15,4,7,3,5,1,0,1,20,13,1,183,2,67,0
16,7,9,3,11,1,1,1,9,5,2,226,4,48,0
15,5,11,2,3,3,1,2,28,2,1,233,4,61,1
16,4,11,1,3,0,0,0,28,7,1,233,3,68,1
16,3,7,0,3,0,0,0,22,21,1,154,3,70,0
16,7,14,2,12,3,0,2,13,0,1,301,5,40,0
15,4,11,2,10,2,0,1,11,3,1,245,3,39,1
15,5,9,0,4,1,0,0,29,4,0,225,5,70,0
14,0,5,0,3,2,0,1,12,0,1,118,0,64,0
16,7,12,13,16,5,2,4,1,30,1,271,1,19,1
4,0,0,0,0,1,0,0,13,12,0,18,0,49,0
4,0,0,0,0,1,0,0,15,0,0,2,0,74,0
8,0,0,0,0,3,0,0,42,0,2,11,0,148,0
14,0,0,0,0,3,0,0,89,0,2,43,0,250,0
14,1,2,0,0,2,0,0,59,6,2,88,1,181,0
16,0,1,0,0,1,0,0,36,14,1,53,0,162,0
15,4,5,3,6,2,0,0,19,5,0,131,3,103,0
14,5,10,3,4,1,0,0,22,10,0,209,4,56,1
15,2,6,0,3,6,0,2,14,25,4,149,2,71,0
1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
3,0,0,0,0,0,0,0,0,0,0,0,0,66,0
16,0,0,0,0,0,0,0,42,0,4,23,0,269,0
1,0,0,0,0,1,0,0,0,0,0,0,0,24,0
2,0,0,0,0,0,0,0,19,0,0,8,0,35,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2,0,0,0,0,0,0,0,4,0,0,4,0,24,0
4,0,0,0,0,1,0,0,0,0,1,0,0,51,0
1,0,0,0,0,0,0,0,9,0,0,2,0,18,0
5,0,2,0,2,0,0,0,6,0,0,46,0,22,0
8,2,4,2,2,1,0,0,6,3,0,106,1,26,0
7,6,6,5,6,3,3,3,1,12,0,150,1,26,1
9,5,5,7,9,1,1,1,2,10,1,141,2,11,1
5,0,0,1,2,3,0,0,0,0,0,0,0,60,0
2,0,0,0,2,0,0,0,0,0,2,0,0,4,0
1,0,0,0,0,0,0,0,6,0,0,2,0,15,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,7,0,0,8,0,13,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
15,0,0,0,0,0,0,0,10,0,3,0,0,308,0
16,0,0,0,0,0,0,0,14,0,1,0,0,253,0
16,0,2,0,0,3,0,1,15,14,2,64,0,117,0
15,1,4,0,0,2,0,1,49,0,1,119,1,128,0
14,0,3,0,0,1,0,0,50,12,3,85,0,146,0
3,0,0,0,0,2,0,0,27,0,0,0,0,70,0
3,0,0,0,0,2,0,0,18,0,0,4,0,49,0
1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
11,0,0,0,0,4,0,0,38,0,3,18,0,187,0
10,0,0,0,0,1,0,0,40,0,2,2,0,196,0
16,0,0,0,0,2,0,0,11,4,3,15,0,214,0
1,0,0,0,0,0,0,0,3,0,0,2,0,12,0
1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
1,0,0,0,0,0,0,0,16,0,0,0,0,27,0
13,0,0,0,0,0,0,0,9,0,0,0,0,287,0
13,0,0,0,0,3,0,0,55,0,1,15,0,236,0
14,0,0,0,0,3,0,0,30,4,4,34,0,187,0
11,0,0,0,0,1,0,0,110,0,1,29,0,236,0
2,0,0,0,0,1,0,0,24,0,0,1,0,49,0
1,0,0,0,0,0,0,0,10,0,0,0,0,22,0
9,0,0,0,0,1,0,0,59,0,0,8,0,193,0
4,0,0,0,0,1,0,0,0,0,0,0,0,83,0
2,0,0,0,0,1,0,0,0,0,2,0,0,43,0
3,0,0,0,0,0,0,0,6,0,1,0,0,66,0
11,0,0,0,0,0,0,0,47,0,2,7,0,231,0
21,0,0,0,0,1,0,0,62,18,1,92,0,234,0
17,0,2,0,0,1,0,0,32,36,0,105,0,125,0
5,0,0,0,0,0,0,0,13,1,0,0,0,89,0
3,0,1,0,0,1,0,0,5,0,1,15,0,26,0
16,0,0,0,0,3,0,0,38,11,2,86,0,140,0
16,0,0,0,0,2,0,0,39,1,3,43,0,198,0
17,0,0,0,0,5,0,0,54,2,4,31,0,224,0
1,0,1,0,0,0,0,0,4,0,0,15,0,7,0
15,0,1,0,0,2,0,0,59,2,2,36,0,226,0
1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
5,0,1,0,0,1,0,0,12,0,1,19,0,52,0
1,0,0,0,0,0,0,0,5,0,0,10,0,10,0
16,0,0,0,0,1,0,0,43,1,4,14,0,253,0
8,0,0,0,0,0,0,0,38,0,0,0,0,208,0
1,0,0,0,0,0,0,0,10,0,0,0,0,25,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,6,0,0,8,0,12,0
1,0,0,0,0,0,0,0,7,0,0,0,0,18,0
3,0,0,0,0,1,0,0,6,0,0,12,0,40,0
3,0,0,0,0,1,0,0,23,0,0,16,0,46,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
4,0,0,0,0,0,0,0,5,0,0,8,0,54,0
2,0,0,0,0,0,0,0,2,0,0,8,0,12,0
2,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2,0,0,0,0,1,0,0,16,0,0,2,0,45,0
1,0,0,0,0,0,0,0,5,0,0,0,0,16,0
2,0,0,0,0,1,0,0,0,0,2,0,0,43,0
16,0,0,0,0,3,0,0,38,0,3,6,0,353,0
4,0,0,0,0,1,0,0,12,0,1,1,0,85,0
1,0,0,0,0,0,0,0,0,0,1,0,0,7,0
4,0,0,0,0,0,0,0,7,0,0,4,0,54,0
7,0,0,0,0,0,0,0,24,0,0,0,0,150,0
12,0,0,0,0,2,0,0,27,3,1,18,0,195,0
6,0,0,0,0,1,0,0,44,0,1,22,0,113,0
2,0,0,0,0,0,0,0,0,0,1,0,0,18,0
14,0,0,0,0,6,0,0,36,6,6,18,0,204,0
16,0,1,1,2,1,0,1,19,6,3,27,0,136,0
14,0,2,0,0,1,0,0,19,5,1,52,0,120,0
15,0,0,0,0,0,0,0,60,0,2,32,0,229,0
11,0,0,0,0,2,0,0,12,0,4,13,0,143,0
15,0,0,0,0,0,0,0,14,0,1,4,0,311,0
16,0,1,0,0,0,0,0,12,0,3,19,0,193,0
15,0,0,0,0,3,0,0,21,0,1,19,0,228,0
14,0,1,0,0,3,0,1,54,3,1,33,0,215,0
13,0,0,0,0,1,0,0,23,0,1,1,0,228,0
15,0,0,0,0,4,0,0,50,2,2,62,0,185,0
16,0,0,0,0,3,0,0,54,0,2,50,0,221,0
14,0,0,0,0,3,0,0,42,0,1,1,0,282,0
11,0,0,0,0,0,0,0,15,0,4,20,0,171,0
1,0,0,0,0,0,0,0,27,0,0,12,0,31,0
1,0,0,0,1,0,0,0,0,31,0,0,0,2,0
3,0,0,0,0,0,0,0,0,42,0,0,0,30,0
3,0,0,0,0,0,0,0,21,0,0,0,0,81,0
1,0,0,0,0,0,0,0,2,0,0,8,0,8,0
1,0,0,0,0,0,0,0,0,18,0,0,0,9,0
1,0,0,0,0,0,0,0,7,0,0,10,0,12,0
2,0,0,0,0,0,0,0,0,0,2,0,0,40,0
1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
17,0,0,0,0,3,0,0,30,12,2,0,0,273,0
4,0,0,0,0,0,0,0,11,0,1,0,0,84,0
1,0,0,0,0,0,0,0,0,4,1,0,0,12,0
1,0,0,0,0,0,0,0,7,0,0,1,0,17,0
1,0,0,0,0,0,0,0,0,9,0,0,0,16,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2,0,0,0,0,0,0,0,4,0,1,0,0,34,0
21,0,0,0,0,1,0,0,27,21,2,14,0,290,0
17,0,0,0,0,1,0,0,48,2,2,4,0,285,0
22,0,0,0,0,5,0,0,28,17,0,3,0,296,0
11,0,0,0,0,2,0,0,16,1,2,5,0,152,0
4,0,0,0,0,1,0,0,4,1,0,18,0,38,0
5,0,0,0,0,0,0,0,9,0,3,6,0,69,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,0,5,1,0,0,28,0
1,0,0,0,0,0,0,0,15,0,0,10,0,20,0
1,0,1,0,0,0,0,0,10,0,0,18,0,12,0
1,0,0,0,0,0,0,0,16,0,0,0,0,27,0
1,0,0,0,0,0,0,0,7,0,0,0,0,24,0
1,0,0,0,0,1,0,0,8,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,1,0,0,11,0
2,0,0,0,0,0,0,0,13,0,0,8,0,31,0
9,0,0,0,0,1,0,0,37,6,0,38,0,116,0
14,0,0,0,0,3,0,0,17,3,3,22,0,177,0
6,0,0,0,0,0,0,0,15,0,0,0,0,116,0
11,0,0,0,0,2,0,0,16,0,3,2,0,220,0
5,0,0,0,0,1,0,0,0,0,0,0,0,91,0
8,0,0,0,0,0,0,0,0,0,0,0,0,187,0
2,0,0,0,0,0,0,0,0,0,1,0,0,44,0
13,0,3,0,0,1,0,1,37,0,2,70,0,138,0
16,2,6,7,10,3,2,2,14,29,1,123,1,48,0
16,2,8,8,9,0,0,0,3,10,1,174,0,39,0
15,2,8,1,4,0,0,0,16,5,1,190,2,61,0
16,8,11,13,15,3,3,3,2,18,2,275,1,20,1
14,6,7,12,14,3,1,1,0,15,3,174,0,16,0
15,6,11,9,10,1,1,1,7,20,1,231,1,29,1
16,7,12,8,11,4,3,3,1,10,0,287,0,29,1
15,3,7,1,5,2,0,0,6,10,2,150,3,42,0
16,5,7,1,3,5,3,4,11,11,1,207,4,60,0
3,0,0,3,3,0,0,0,0,12,3,0,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1,0,0,0,0,1,0,0,0,10,0,0,0,17,0
1,0,0,0,0,0,0,0,0,0,1,0,0,18,0
3,0,0,0,0,2,0,0,0,0,2,0,0,66,0
2,0,0,0,0,1,0,0,0,0,0,0,0,47,0
1,0,0,0,0,1,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,11,0,0,1,0,21,0
6,0,0,0,0,2,0,0,22,0,0,0,0,123,0
2,0,0,0,0,0,0,0,0,0,1,0,0,46,0
1,0,0,0,0,0,0,0,8,0,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,23,0
5,0,0,0,0,1,0,0,9,2,1,0,0,98,0
9,0,0,0,0,2,0,0,52,3,1,33,0,138,0
15,0,0,0,0,2,0,0,24,0,4,8,0,263,0
5,0,0,0,0,0,0,0,0,0,1,0,0,124,0
10,0,0,0,0,1,0,0,24,0,0,4,0,219,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,0,0,0,0,0,0,0,0,1,0,0,23,0
1,0,0,0,0,0,0,0,0,3,0,0,0,23,0
1,0,0,0,0,0,0,0,23,0,0,1,0,33,0
1,0,0,0,0,0,0,0,9,0,0,0,0,30,0
1,0,1,0,0,1,0,1,8,0,0,18,0,10,0
1,0,0,0,0,0,0,0,13,0,0,0,0,28,0
2,0,0,0,0,0,0,0,0,21,1,0,0,36,0
1,0,0,0,0,0,0,0,2,0,0,10,0,7,0
1,0,0,0,0,0,0,0,18,0,0,0,0,31,0
1,0,0,0,0,0,0,0,14,0,0,0,0,33,0
1,0,0,0,0,1,0,0,0,4,0,0,0,22,0
1,0,0,0,0,0,0,0,3,0,0,0,0,16,0
1,0,0,0,0,0,0,0,1,0,0,0,0,15,0
1,0,0,0,0,0,0,0,0,9,0,0,0,20,0
1,0,0,0,0,0,0,0,0,9,0,0,0,8,0
1,1,1,1,1,0,0,0,0,0,0,25,0,1,0
1,1,1,0,0,0,0,0,18,0,0,25,1,19,0
1,0,0,0,0,0,0,0,0,20,1,0,0,5,0
1,0,0,0,0,1,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,13,0,0,0,0,29,0
1,0,0,0,0,0,0,0,0,6,0,0,0,15,0
2,0,0,0,0,0,0,0,10,0,0,0,0,34,0
7,0,1,0,0,0,0,0,27,0,0,35,0,88,0
5,0,0,0,0,0,0,0,6,0,0,4,0,69,0
6,0,0,0,0,2,0,0,14,0,0,14,0,73,0
5,0,0,0,0,0,0,0,22,0,0,16,0,75,0
2,0,0,0,0,0,0,0,5,0,0,2,0,31,0
7,0,0,0,0,3,0,0,28,0,1,20,0,104,0
1,0,0,0,0,0,0,0,12,0,0,0,0,25,0
1,0,0,0,0,0,0,0,20,0,0,0,0,33,0
1,0,0,0,0,0,0,0,3,0,1,0,0,17,0
1,0,0,0,0,0,0,0,0,1,0,0,0,24,0
1,0,0,0,0,0,0,0,4,0,0,1,0,14,0
1,0,0,0,0,0,0,0,9,0,0,0,0,22,0
8,0,0,0,0,2,0,0,38,0,0,2,0,179,0
2,0,0,0,0,0,0,0,13,0,0,1,0,45,0
2,0,0,0,0,0,0,0,17,0,0,16,0,29,0
1,0,0,0,0,0,0,0,0,1,0,0,0,10,0
2,0,0,0,0,1,0,0,1,0,0,0,0,30,0
1,0,0,0,0,1,0,0,8,0,0,1,0,18,0
1,0,0,0,0,0,0,0,11,0,0,0,0,22,0
1,0,0,0,0,0,0,0,12,0,0,8,0,18,0
1,0,0,0,0,0,0,0,0,0,1,0,0,13,0
1,0,0,0,0,0,0,0,0,4,0,0,0,25,0
2,0,0,0,0,0,0,0,7,12,0,0,0,38,0
2,0,0,0,0,0,0,0,19,0,0,0,0,62,0
1,0,0,0,0,0,0,0,6,0,0,0,0,32,0
1,0,0,0,0,0,0,0,9,0,0,0,0,29,0
1,0,0,0,0,0,0,0,0,5,0,0,0,9,0
1,1,1,0,0,0,0,0,13,0,0,25,1,14,0
1,0,0,0,0,0,0,0,4,0,0,8,0,10,0
1,0,0,0,0,0,0,0,16,0,0,6,0,23,0
1,0,0,0,0,0,0,0,7,0,0,2,0,16,0
1,0,0,0,0,0,0,0,0,22,1,0,0,4,0
1,0,0,0,0,0,0,0,0,5,0,0,0,7,0
1,0,0,0,0,0,0,0,17,0,0,4,0,25,0
1,0,0,0,0,0,0,0,24,0,0,10,0,29,0
1,0,0,0,0,0,0,0,0,15,0,0,0,17,0
1,0,0,0,0,0,0,0,0,21,0,0,0,5,0
1,0,0,0,0,0,0,0,5,0,0,0,0,21,0
2,0,0,0,0,0,0,0,8,0,0,0,0,40,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2,0,0,0,0,1,0,0,12,0,0,0,0,48,0
1,0,0,0,0,0,0,0,1,0,0,0,0,15,0
4,0,0,0,0,0,0,0,11,0,0,0,0,74,0
21,0,0,0,0,1,0,0,50,28,2,4,0,327,0
3,0,0,0,0,1,0,0,15,0,1,1,0,56,0
10,0,0,0,0,2,0,0,61,0,2,1,0,221,0
11,0,0,0,0,1,0,0,75,0,2,5,0,227,0
10,0,0,0,0,1,0,0,73,0,1,14,0,212,0
1,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2,0,0,0,0,1,0,0,5,0,1,0,0,40,0
2,0,0,0,0,0,0,0,8,0,0,1,0,41,0
1,0,0,0,0,1,0,0,13,0,0,1,0,23,0
14,0,0,0,0,1,0,0,70,0,2,21,0,267,0
1,0,0,0,0,0,0,0,4,0,0,0,0,17,0
1,0,0,0,0,0,0,0,0,0,0,0,0,25,0
1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
3,0,0,0,0,0,0,0,5,0,0,0,0,42,0
1,0,0,0,0,0,0,0,0,0,0,0,0,31,0
3,0,1,0,0,0,0,0,10,0,1,15,0,44,0
1,0,0,0,0,0,0,0,10,0,0,6,0,17,0
4,0,0,0,0,1,0,0,23,0,0,22,0,66,0
1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
3,0,0,0,0,1,0,0,14,0,1,6,0,55,0
1,0,0,0,0,0,0,0,10,0,0,1,0,20,0
1,0,0,0,0,0,0,0,4,0,0,4,0,12,0
3,0,0,0,0,1,0,0,0,0,0,0,0,53,0
3,0,0,0,0,0,0,0,5,0,0,0,0,44,0
1,0,0,0,0,0,0,0,0,0,1,0,0,16,0
1,0,0,0,0,0,0,0,8,0,0,4,0,16,0
1,0,0,0,0,0,0,0,8,0,0,2,0,17,0
2,0,0,0,0,0,0,0,15,0,0,10,0,33,0
7,1,2,0,0,0,0,0,27,0,0,60,1,67,0
8,1,6,0,0,1,0,1,49,1,0,121,1,74,0
8,0,1,0,0,2,0,0,28,0,0,57,0,87,0
9,1,5,0,1,1,0,0,13,1,0,110,1,40,0
10,0,3,0,0,2,0,1,18,6,1,60,0,67,0
10,0,2,0,0,0,0,0,12,2,0,56,0,71,0
10,0,1,0,0,1,0,1,18,0,0,46,0,97,0
4,0,0,0,0,1,0,0,13,0,0,18,0,48,0
9,0,0,0,0,1,0,0,6,1,1,18,0,70,0
11,1,3,0,1,3,0,0,28,2,2,79,1,86,0
9,0,3,0,0,0,0,0,37,0,0,102,0,74,0
3,0,1,0,0,0,0,0,9,0,0,18,0,31,0
1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
5,0,0,0,0,0,0,0,28,0,1,10,0,98,0
4,0,0,0,0,1,0,0,0,0,3,0,0,67,0
14,0,0,1,1,1,0,0,33,0,4,20,0,140,0
15,0,1,0,0,6,0,0,42,7,3,35,0,195,0
16,0,0,0,0,1,0,0,27,7,6,19,0,162,0
14,0,0,0,0,0,0,0,29,0,2,20,0,186,0
18,0,0,0,0,5,0,0,49,0,2,0,0,400,0
8,0,0,0,0,0,0,0,5,23,0,2,0,93,0
20,0,0,0,0,2,0,0,52,13,3,31,0,285,0
1,0,0,0,0,0,0,0,19,0,0,2,0,28,0
1,0,0,0,0,0,0,0,0,0,0,0,0,30,0
1,0,0,0,0,0,0,0,3,0,0,1,0,13,0
1,0,0,0,0,0,0,0,0,7,1,0,0,9,0
1,0,0,0,0,0,0,0,6,0,0,0,0,20,0
2,0,0,0,0,0,0,0,6,0,0,0,0,32,0
2,0,0,0,0,0,0,0,15,0,0,3,0,34,0
1,0,0,0,0,0,0,0,9,0,0,4,0,17,0
6,0,0,0,0,2,0,0,17,0,0,6,0,96,0
8,0,0,0,0,1,0,0,43,5,1,23,0,118,0
7,0,0,0,0,1,0,0,64,0,0,21,0,132,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
1,0,0,0,0,0,0,0,17,0,0,6,0,24,0
1,0,0,0,0,0,0,0,0,3,0,0,0,15,0
1,0,0,0,0,0,0,0,7,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
3,0,0,0,0,0,0,0,11,0,0,10,0,56,0
1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
4,0,1,0,0,0,0,0,5,0,1,15,0,35,0
1,0,0,0,0,0,0,0,0,1,0,6,0,6,0
1,0,0,0,0,0,0,0,8,0,0,12,0,12,0
11,0,0,0,0,2,0,0,39,0,1,20,0,179,0
15,0,1,0,0,2,0,0,25,0,2,38,0,180,0
13,0,1,0,1,3,0,0,28,11,3,46,0,146,0
14,1,3,1,5,4,0,2,14,9,4,84,1,89,0
16,0,0,0,0,3,0,0,30,0,1,51,0,154,0
3,0,1,0,1,0,0,0,4,11,1,18,0,13,0
10,0,0,1,1,0,0,0,12,10,0,22,0,88,0
15,0,2,0,1,2,0,0,14,9,0,80,0,118,0
15,3,4,1,4,3,0,1,7,13,2,112,2,99,0
14,1,6,0,1,4,0,0,31,11,0,136,1,98,0
13,0,0,0,0,2,0,0,11,3,1,14,0,164,0
17,1,6,0,2,2,0,0,26,1,3,158,1,113,0
16,4,7,2,5,1,0,0,27,28,2,162,3,90,0
15,0,4,0,1,2,0,0,33,0,2,98,0,142,0
14,1,8,0,1,1,1,1,11,2,0,169,1,64,0
15,2,7,2,6,6,2,4,11,21,1,162,1,53,0
2,0,1,0,0,0,0,0,6,0,1,18,0,14,0
19,0,0,0,0,1,0,0,42,10,0,18,0,235,0
21,0,0,0,0,3,0,0,39,26,1,46,0,253,0
20,0,0,0,0,1,0,0,32,3,4,54,0,233,0
21,0,0,0,0,1,0,0,34,23,1,53,0,215,0
21,0,1,0,0,1,0,0,51,27,0,96,0,216,0
17,0,1,0,0,1,0,0,38,13,2,104,0,142,0
22,0,4,0,1,5,0,2,56,25,0,164,0,174,0
5,0,0,0,0,0,0,0,13,0,1,14,0,64,0
4,0,0,0,0,0,0,0,14,0,0,5,0,48,0
1,0,0,0,0,1,0,0,8,0,0,12,0,12,0
1,0,0,0,0,0,0,0,0,12,0,0,0,10,0
3,0,1,0,0,0,0,0,5,0,0,19,0,21,0
4,0,1,0,0,1,0,1,22,0,0,37,0,44,0
1,0,0,0,0,0,0,0,5,0,0,8,0,11,0
21,0,0,0,0,1,0,0,45,12,3,39,0,259,0
21,2,10,7,8,1,0,0,3,18,2,260,0,90,0
17,0,2,0,0,1,0,0,26,13,3,98,0,144,0
22,0,1,2,2,5,0,0,23,21,1,161,0,142,0
20,0,0,0,0,2,0,0,60,0,0,0,0,427,0
19,0,0,0,0,0,0,0,46,0,0,0,0,377,0
1,0,0,0,0,0,0,0,10,0,0,8,0,16,0
2,0,0,0,0,2,0,0,6,0,0,6,0,30,0
1,0,0,0,0,0,0,0,3,0,0,0,0,28,0
1,0,0,0,0,0,0,0,0,3,0,0,0,27,0
1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2,0,0,0,0,1,0,0,17,0,0,6,0,34,0
2,0,0,0,0,0,0,0,0,0,0,0,0,41,0
1,0,0,0,0,0,0,0,7,0,0,12,0,11,0
5,0,0,0,0,2,0,0,21,0,1,6,0,101,0
9,0,0,0,0,0,0,0,82,0,1,14,0,210,0
4,0,0,0,0,1,0,0,34,0,0,12,0,84,0
6,0,0,0,0,2,0,0,15,0,1,12,0,89,0
8,0,0,0,0,0,0,0,12,2,0,11,0,98,0
2,0,0,0,0,0,0,0,0,0,0,0,0,23,0
1,0,0,0,0,0,0,0,0,1,0,4,0,7,0
10,0,4,0,1,1,0,0,26,12,0,88,0,63,0
11,0,1,3,6,3,0,0,5,10,2,39,0,32,0
6,0,1,0,2,0,0,0,1,0,0,15,0,24,0
13,0,3,0,2,0,0,0,29,2,0,93,0,83,0
10,0,1,1,2,2,0,0,4,17,2,44,0,62,0
11,0,1,1,2,2,0,0,25,19,0,61,0,89,0
5,0,0,0,0,2,0,0,10,0,0,9,0,86,0
3,0,0,0,0,1,0,0,3,0,0,2,0,60,0
2,0,0,0,0,1,0,0,18,0,0,0,0,42,0
8,0,0,0,0,1,0,0,18,1,2,14,0,91,0
1,0,0,0,0,0,0,0,6,0,0,1,0,16,0
3,0,0,0,0,1,0,0,0,0,1,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,27,0
1,0,0,0,0,1,0,0,5,0,0,6,0,12,0
9,0,0,0,0,1,0,0,22,0,1,24,0,121,0
2,0,0,0,0,2,0,0,8,0,0,0,0,45,0
2,0,0,0,0,1,0,0,0,0,0,0,0,47,0
14,0,0,0,0,0,0,0,53,0,0,14,0,300,0
14,0,0,0,0,0,0,0,63,0,1,22,0,268,0
