races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
16,0,1,0,2,2,0,0,31,15,2,87,0,116,0
17,1,2,2,2,3,0,0,30,23,1,117,0,114,0
19,0,3,1,4,0,0,0,7,34,2,110,0,115,0
18,0,0,0,0,2,0,0,49,26,1,47,0,188,0
17,0,0,0,0,3,0,0,5,22,2,27,0,156,0
18,0,1,0,1,5,0,0,23,30,1,86,0,137,0
17,0,3,1,4,2,0,0,32,14,3,88,0,144,0
19,0,0,0,0,5,0,0,25,9,1,0,0,358,0
18,0,0,0,0,2,0,0,30,0,0,0,0,346,0
1,0,0,0,0,0,0,0,5,0,0,0,0,20,0
8,0,0,0,0,1,0,0,24,0,1,37,0,111,0
14,0,2,0,0,1,0,0,5,9,3,72,0,95,0
16,0,3,0,0,4,0,0,18,7,3,87,0,99,0
16,0,2,0,0,3,0,1,24,0,3,74,0,115,0
16,0,2,0,0,5,0,0,14,0,1,69,0,120,0
14,0,4,1,3,1,0,1,16,1,2,94,0,81,0
17,1,5,0,3,3,0,1,22,2,2,137,1,86,0
16,0,8,0,0,3,0,2,19,2,3,164,0,78,0
17,0,5,1,2,3,0,0,42,12,2,143,0,139,0
16,0,1,0,1,3,0,1,47,1,2,66,0,168,0
16,0,0,0,1,2,0,0,43,9,2,30,0,201,0
17,0,0,0,0,5,0,0,31,0,3,3,0,280,0
17,0,0,0,0,2,0,0,89,1,2,57,0,240,0
6,0,1,0,0,3,0,0,10,3,1,31,0,44,0
6,0,0,0,0,1,0,0,17,0,0,9,0,90,0
8,0,0,0,0,4,0,0,11,1,0,9,0,99,0
10,0,1,0,0,1,0,0,13,0,2,53,0,72,0
8,0,5,0,0,3,0,0,22,3,0,84,0,66,0
6,0,1,0,2,0,0,0,1,7,0,34,0,19,0
10,0,1,0,1,0,0,0,1,1,0,37,0,62,0
3,0,0,0,1,0,0,0,0,1,0,10,0,11,0
1,0,0,0,0,0,0,0,3,0,0,0,0,22,0
1,0,0,0,0,0,0,0,11,0,0,0,0,22,0
11,0,0,0,0,2,0,0,49,0,3,25,0,171,0
1,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2,0,0,0,0,1,0,0,9,0,0,0,0,48,0
20,0,0,0,0,2,0,0,80,0,2,16,0,340,0
19,0,0,0,0,0,0,0,28,17,1,13,0,254,0
19,0,0,0,0,2,0,0,24,13,0,22,0,223,0
2,0,0,0,0,1,0,0,0,0,1,0,0,46,0
7,0,0,0,0,0,0,0,52,0,1,2,0,180,0
1,0,0,0,0,1,0,0,10,0,0,4,0,18,0
2,0,0,0,0,0,0,0,18,0,0,12,0,32,0
12,0,1,0,0,3,0,1,44,1,2,52,0,153,0
11,0,3,0,1,0,0,0,34,4,0,84,0,92,0
13,0,2,0,1,0,0,0,35,11,1,74,0,130,0
7,0,0,0,0,2,0,0,13,0,1,26,0,68,0
11,1,1,0,0,2,1,1,37,5,0,35,1,146,0
15,0,0,0,0,2,0,0,38,0,2,44,0,165,0
14,0,1,0,0,3,0,0,45,0,1,40,0,201,0
1,0,0,0,0,0,0,0,9,0,0,0,0,21,0
4,0,0,0,0,1,0,0,0,0,0,0,0,65,0
14,0,0,0,0,1,0,0,17,2,0,13,0,140,0
15,1,1,4,5,2,0,0,12,16,1,30,0,118,0
13,1,1,2,6,1,0,0,2,0,1,26,1,83,0
3,0,0,0,0,2,0,0,0,0,0,0,0,53,0
1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
10,0,0,0,0,1,0,0,6,0,2,0,0,159,0
14,0,1,0,0,3,0,0,35,0,1,34,0,178,0
13,0,0,1,1,4,0,0,6,7,3,16,0,108,0
16,0,0,0,0,3,0,0,60,2,1,17,0,244,0
12,0,0,0,0,2,0,0,50,0,1,16,0,205,0
6,0,0,1,1,0,0,0,17,8,0,4,0,72,0
13,0,2,0,0,2,0,1,42,0,1,66,0,146,0
14,0,0,0,0,1,0,0,56,1,3,42,0,212,0
9,0,0,0,0,3,0,0,50,0,1,17,0,164,0
13,0,0,0,0,0,0,0,28,0,2,14,0,234,0
13,0,0,0,0,1,0,0,71,0,2,16,0,236,0
17,0,0,0,0,5,0,0,39,10,1,67,0,201,0
17,0,0,0,0,2,0,0,70,0,2,25,0,288,0
17,0,0,0,0,1,0,0,43,8,3,80,0,175,0
15,0,0,0,0,2,0,0,41,6,1,52,0,170,0
18,0,10,1,3,3,0,2,31,7,1,206,0,99,0
16,0,2,1,4,0,0,0,22,22,1,97,0,98,0
18,1,3,1,3,2,1,1,33,17,1,142,1,140,0
17,0,0,0,0,3,0,0,33,7,2,19,0,236,0
18,0,0,0,0,5,0,0,32,3,4,11,0,256,0
17,6,9,4,5,2,1,2,30,4,1,252,2,97,1
19,2,7,0,1,5,2,3,46,5,1,214,2,130,0
19,3,12,0,3,2,2,2,27,6,0,270,3,85,0
20,3,6,1,5,2,1,1,31,39,1,188,2,129,0
19,0,0,0,0,0,0,0,44,18,0,73,0,199,0
19,0,1,0,0,2,0,0,35,20,0,116,0,161,0
19,0,0,0,0,1,0,0,40,4,1,16,0,303,0
21,0,0,0,0,3,0,0,44,6,1,21,0,273,0
1,0,0,0,0,0,0,0,0,0,1,0,0,20,0
19,0,0,0,0,2,0,0,62,1,0,0,0,416,0
1,0,0,0,0,0,0,0,2,0,0,0,0,15,0
1,0,0,0,0,1,0,0,0,6,0,0,0,15,0
1,0,0,0,0,0,0,0,0,16,0,0,0,7,0
2,0,0,0,0,0,0,0,30,0,0,4,0,64,0
1,0,0,1,1,0,0,0,0,30,0,0,0,1,0
1,0,0,0,0,0,0,0,0,7,1,0,0,24,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
6,0,1,0,0,0,0,0,16,19,0,35,0,53,0
8,0,2,0,0,2,0,0,19,9,1,49,0,64,0
9,3,3,6,6,1,0,0,11,7,0,89,1,24,0
10,7,9,7,8,2,2,2,9,9,0,212,2,20,1
11,3,3,6,8,0,0,0,6,13,0,103,2,23,0
9,6,6,6,9,1,1,1,2,9,0,151,2,12,1
8,1,2,2,4,3,0,0,2,0,1,52,1,27,0
11,4,5,6,7,1,0,0,8,7,0,123,2,28,0
1,1,1,1,1,0,0,0,0,0,0,25,0,1,0
2,0,0,0,0,1,0,0,12,0,1,0,0,50,0
1,0,0,0,0,0,0,0,5,0,0,6,0,12,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
9,0,0,0,0,2,0,0,54,0,1,31,0,135,0
1,0,0,0,0,0,0,0,5,0,0,0,0,23,0
1,0,0,0,0,0,0,0,17,0,0,0,0,33,0
1,0,0,0,0,0,0,0,3,0,0,0,0,32,0
1,0,0,0,0,1,0,0,4,0,0,0,0,28,0
1,0,1,0,0,0,0,0,8,0,0,18,0,10,0
2,0,0,0,0,0,0,0,28,0,0,6,0,50,0
2,0,0,0,0,0,0,0,0,28,1,0,0,20,0
1,0,0,0,0,0,0,0,6,0,0,0,0,20,0
1,0,0,0,1,0,0,0,0,18,0,0,0,2,0
1,0,1,0,0,0,0,0,30,0,0,18,0,32,0
1,0,0,0,0,0,0,0,15,0,0,10,0,20,0
1,0,1,0,0,0,0,0,1,0,0,18,0,3,0
1,1,1,0,1,0,0,0,1,0,0,25,1,2,0
1,0,0,0,0,0,0,0,14,0,0,0,0,26,0
1,0,0,0,0,0,0,0,15,0,0,8,0,21,0
1,0,0,0,0,0,0,0,17,0,0,0,0,31,0
1,0,1,0,0,0,0,0,1,0,0,18,0,3,0
1,0,0,0,0,0,0,0,0,13,0,0,0,11,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,1,0,0,0,0,0,12,0,0,15,0,15,0
1,1,1,0,0,0,0,0,6,0,0,25,1,7,0
1,0,0,0,0,0,0,0,0,13,0,0,0,20,0
1,0,0,0,0,0,0,0,0,9,0,0,0,10,0
1,0,0,0,0,1,0,0,10,0,0,0,0,27,0
1,0,0,0,0,0,0,0,11,0,0,0,0,27,0
1,0,0,0,0,0,0,0,22,0,0,1,0,32,0
2,0,0,0,0,0,0,0,23,0,1,0,0,54,0
1,0,1,0,0,0,0,0,7,0,0,15,0,10,0
1,0,0,0,0,0,0,0,15,0,0,8,0,21,0
1,0,0,0,0,0,0,0,0,23,1,0,0,4,0
1,0,0,0,0,0,0,0,8,0,0,2,0,17,0
1,0,0,0,0,0,0,0,0,8,1,0,0,16,0
1,0,0,0,0,0,0,0,1,0,1,0,0,29,0
1,0,0,0,0,0,0,0,0,1,0,0,0,13,0
1,0,0,0,0,1,0,0,3,0,0,0,0,32,0
1,0,0,0,0,0,0,0,0,7,0,0,0,8,0
1,0,0,0,0,0,0,0,16,0,0,6,0,23,0
1,0,0,0,0,0,0,0,0,10,0,0,0,7,0
1,0,0,0,0,0,0,0,0,18,0,0,0,15,0
1,0,0,0,0,0,0,0,12,0,0,2,0,21,0
1,0,0,0,0,0,0,0,0,12,0,0,0,6,0
1,0,0,0,0,0,0,0,0,3,0,8,0,3,0
1,0,0,0,0,1,0,0,0,0,1,0,0,15,0
1,0,0,0,0,1,0,0,0,0,0,0,0,8,0
4,0,0,0,0,0,0,0,6,0,0,6,0,52,0
9,0,0,0,0,0,0,0,22,0,2,19,0,127,0
7,1,1,1,1,0,0,0,5,0,0,39,0,47,0
8,0,0,0,0,1,0,0,0,4,0,26,0,50,0
8,0,0,0,0,2,0,0,12,5,0,30,0,67,0
7,0,0,0,0,1,0,0,19,6,0,31,0,68,0
10,0,0,0,0,2,0,0,34,3,0,52,0,109,0
9,0,0,0,0,0,0,0,13,0,0,20,0,97,0
10,0,0,0,0,1,0,0,24,0,0,28,0,112,0
9,0,0,0,0,3,0,0,12,0,1,14,0,116,0
8,0,0,0,0,1,0,0,32,0,0,21,0,119,0
8,0,0,0,0,1,0,0,37,0,0,22,0,146,0
2,0,0,0,0,0,0,0,0,0,0,0,0,30,0
1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
3,0,0,0,0,0,0,0,23,0,0,1,0,72,0
7,0,0,0,0,0,0,0,38,0,0,10,0,162,0
1,0,0,0,0,1,0,0,9,0,0,1,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,1,0,0,0,0,1,0,0,16,0
3,0,0,0,0,1,0,0,12,0,0,1,0,49,0
9,0,0,0,0,2,0,0,14,0,1,18,0,115,0
10,0,1,0,0,0,0,0,33,1,1,37,0,133,0
10,0,0,0,0,1,0,0,35,3,0,40,0,117,0
8,0,0,0,0,2,0,0,9,0,1,12,0,96,0
10,0,0,0,0,0,0,0,30,2,1,31,0,133,0
12,1,1,1,1,3,0,0,21,5,0,55,1,100,0
11,0,2,0,0,0,0,0,19,7,1,55,0,81,0
12,0,0,0,0,0,0,0,31,5,1,19,0,167,0
11,1,2,1,2,2,0,0,8,19,0,69,0,61,0
1,0,0,0,0,1,0,0,0,0,0,0,0,28,0
3,0,0,0,0,1,0,0,8,0,1,6,0,45,0
12,0,0,0,0,3,0,0,16,11,0,6,0,208,0
14,1,4,0,0,4,0,0,54,1,5,104,1,148,0
16,0,2,0,0,3,0,1,66,1,1,96,0,198,0
17,0,2,0,0,2,0,0,42,2,5,101,0,161,0
10,0,0,0,0,0,0,0,46,0,1,8,0,189,0
13,0,0,0,0,1,0,0,72,0,1,40,0,232,0
13,0,0,0,0,1,0,0,75,0,1,32,0,249,0
9,0,0,0,0,0,0,0,74,0,1,15,0,205,0
1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
9,0,0,0,0,1,0,0,14,3,1,24,0,105,0
9,0,3,0,1,3,0,2,20,0,1,85,0,58,0
10,0,0,0,0,1,0,0,7,0,0,24,0,82,0
12,0,2,2,3,3,0,1,1,0,1,30,0,73,0
10,1,3,5,6,0,0,0,0,4,1,70,0,22,0
9,5,5,3,5,0,0,0,13,9,0,125,3,33,1
1,0,0,0,0,0,0,0,0,1,0,2,0,8,0
5,0,0,0,1,2,0,0,0,6,3,2,0,24,0
15,2,6,0,2,3,0,1,25,1,0,152,2,97,0
14,1,3,0,1,4,0,1,19,25,2,88,1,96,0
16,1,5,1,3,3,0,1,43,3,0,171,0,122,0
17,3,9,1,2,2,0,1,42,5,3,172,3,112,0
16,0,4,0,1,1,0,0,30,3,4,87,0,129,0
15,3,6,1,2,2,0,1,30,2,1,201,2,92,1
13,0,0,0,0,1,0,0,77,0,1,21,0,211,0
1,0,0,0,0,0,0,0,10,0,0,1,0,20,0
1,0,0,0,0,0,0,0,0,3,0,0,0,30,0
1,0,0,0,0,0,0,0,3,0,0,0,0,16,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,0,0,0,0,0,0,8,0,0,4,0,16,0
1,0,0,0,0,0,0,0,8,0,0,0,0,19,0
1,0,0,0,0,0,0,0,10,0,0,0,0,23,0
1,0,0,0,0,0,0,0,10,0,0,0,0,24,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,26,0
1,0,0,0,0,0,0,0,11,0,0,2,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
1,0,0,0,0,0,0,0,4,0,0,4,0,12,0
1,0,0,0,0,0,0,0,4,0,0,2,0,13,0
1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,1,0,0,0,0,0,3,0,0,18,0,5,0
1,0,0,0,0,0,0,0,8,0,0,2,0,17,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,0,0,0,0,0,0,14,0,0,4,0,22,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,10,0,1,0,0,26,0
5,0,0,0,0,0,0,0,4,0,0,1,0,62,0
7,0,0,0,0,0,0,0,20,0,0,20,0,80,0
1,0,0,0,0,1,0,0,9,0,1,0,0,26,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,1,0,0,0,0,1,0,0,21,0
4,0,1,1,1,1,0,0,9,0,1,18,0,33,0
8,0,0,0,0,2,0,0,7,1,2,26,0,79,0
9,0,2,1,2,1,0,1,15,0,1,68,0,65,0
10,1,3,1,3,2,0,0,6,7,0,72,1,39,0
10,2,6,2,4,0,0,0,6,0,0,119,0,31,1
8,0,3,0,2,1,0,0,4,3,0,66,0,32,0
9,2,4,2,5,3,1,2,1,0,0,83,0,32,0
9,1,2,0,0,0,0,0,17,0,0,72,1,65,0
12,0,2,1,1,3,0,1,15,2,1,47,0,76,0
9,0,1,0,0,0,0,0,15,0,0,27,0,96,0
11,0,0,0,0,0,0,0,21,0,0,24,0,130,0
10,0,0,0,0,2,0,0,44,4,0,34,0,136,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0
1,0,0,0,0,0,0,0,6,0,0,0,0,20,0
4,0,0,0,0,2,0,0,26,0,1,16,0,73,0
2,0,0,0,0,1,0,0,0,0,0,0,0,47,0
15,0,0,0,0,3,0,0,57,5,0,42,0,210,0
13,0,0,0,0,4,0,0,30,8,2,9,0,179,0
16,1,3,0,1,3,0,0,65,2,1,87,1,181,0
17,0,1,1,6,2,0,0,11,12,3,40,0,95,0
16,0,3,1,3,1,0,0,40,7,3,110,0,111,0
15,0,1,0,0,2,0,0,71,0,1,79,0,214,0
14,0,0,0,0,1,0,0,52,0,0,34,0,228,0
15,1,4,0,1,6,0,2,28,6,1,109,1,133,0
15,2,5,0,0,1,0,0,63,2,1,131,2,170,0
13,1,3,0,0,0,0,0,125,0,2,87,1,241,0
1,0,0,0,0,0,0,0,14,0,0,6,0,21,0
1,1,1,0,0,1,1,1,4,0,0,25,1,5,0
1,0,0,0,0,0,0,0,0,13,0,0,0,8,0
1,0,0,0,0,0,0,0,21,0,0,1,0,31,0
1,0,0,0,0,0,0,0,0,18,0,0,0,8,0
2,0,0,0,0,0,0,0,16,5,0,0,0,54,0
1,0,0,0,0,0,0,0,6,0,0,0,0,27,0
1,0,0,0,0,0,0,0,2,0,0,12,0,6,0
1,0,0,0,0,0,0,0,1,0,0,0,0,17,0
1,0,0,0,0,0,0,0,0,6,0,0,0,6,0
1,0,0,0,0,0,0,0,10,0,0,0,0,31,0
1,0,0,0,0,0,0,0,11,0,0,0,0,31,0
1,0,0,0,0,0,0,0,17,0,0,0,0,30,0
1,0,0,0,0,0,0,0,0,3,1,0,0,26,0
1,0,0,0,0,0,0,0,0,18,0,0,0,12,0
1,0,0,0,0,0,0,0,0,1,0,8,0,5,0
1,0,1,0,0,0,0,0,5,0,0,15,0,8,0
1,0,0,0,0,0,0,0,5,0,0,8,0,11,0
1,0,0,0,0,0,0,0,0,14,0,0,0,13,0
9,0,0,0,0,0,0,0,63,0,1,9,0,198,0
9,0,0,0,0,1,0,0,11,0,2,2,0,157,0
6,0,0,0,0,0,0,0,32,0,0,11,0,105,0
7,0,0,0,0,1,0,0,17,0,2,6,0,109,0
4,0,0,0,0,2,0,0,42,0,0,5,0,94,0
5,0,0,0,0,0,0,0,9,0,1,0,0,103,0
1,0,0,0,0,1,0,0,5,0,0,0,0,16,0
15,0,0,0,0,0,0,0,29,0,2,34,0,201,0
6,0,0,0,0,1,0,0,51,0,1,22,0,116,0
2,0,0,0,0,0,0,0,0,0,0,0,0,32,0
7,0,0,0,0,1,0,0,59,0,0,8,0,156,0
15,0,0,0,0,3,0,0,16,4,4,22,0,196,0
16,0,0,0,0,5,0,0,48,0,4,52,0,225,0
16,0,0,0,0,1,0,0,88,1,3,27,0,261,0
17,2,4,0,0,3,0,1,46,4,3,167,2,125,0
14,0,1,0,0,3,0,1,45,0,2,38,0,177,0
17,0,1,0,0,3,0,0,65,0,4,91,0,186,0
16,0,0,0,0,3,0,0,26,1,5,30,0,188,0
15,1,1,0,0,2,1,1,28,10,0,54,1,164,0
17,0,0,0,0,5,0,0,38,0,2,19,0,240,0
1,0,0,0,0,0,0,0,0,3,0,0,0,14,0
1,0,0,0,0,1,0,0,15,0,0,0,0,33,0
1,0,0,0,0,0,0,0,0,6,0,0,0,26,0
1,0,0,0,0,0,0,0,12,0,0,0,0,33,0
1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
5,0,1,0,1,1,0,0,11,0,2,18,0,59,0
4,0,0,0,0,0,0,0,15,0,0,12,0,59,0
2,0,0,0,0,0,0,0,9,0,0,10,0,31,0
2,0,0,0,0,0,0,0,0,15,0,0,0,36,0
1,0,0,0,0,0,0,0,0,20,0,0,0,4,0
1,0,0,0,0,0,0,0,29,0,0,12,0,33,0
1,0,0,0,0,0,0,0,0,14,1,0,0,18,0
1,0,0,0,0,0,0,0,0,1,0,0,0,11,0
1,0,0,0,0,0,0,0,0,1,0,0,0,22,0
1,0,1,1,1,0,0,0,0,2,0,15,0,1,0
1,0,0,0,0,0,0,0,12,0,0,10,0,17,0
1,0,0,0,0,1,0,0,4,0,0,10,0,9,0
21,0,0,0,0,3,0,0,54,12,2,1,0,362,0
16,0,0,0,0,1,0,0,35,8,1,8,0,242,0
1,0,0,0,0,0,0,0,12,0,0,0,0,25,0
14,0,0,0,0,0,0,0,79,0,1,11,0,325,0
7,0,0,0,0,2,0,0,8,0,0,0,0,159,0
16,0,0,0,0,0,0,0,74,0,1,10,0,323,0
16,0,0,0,0,0,0,0,153,0,2,60,0,329,0
14,0,0,0,0,3,0,0,65,0,0,28,0,274,0
15,0,0,0,0,2,0,0,84,1,2,28,0,272,0
1,0,0,0,0,0,0,0,8,0,0,4,0,16,0
2,0,0,0,0,1,0,0,8,0,0,0,0,37,0
10,0,2,0,0,0,0,0,19,0,5,44,0,106,0
5,0,0,0,0,0,0,0,4,0,0,0,0,94,0
16,0,0,0,0,3,0,0,19,0,5,13,0,225,0
17,0,0,0,0,3,0,0,70,0,4,6,0,334,0
9,0,0,0,0,2,0,0,12,0,0,0,0,149,0
17,0,0,0,0,5,0,0,41,0,3,29,0,237,0
17,0,0,0,0,2,0,0,92,0,1,24,0,306,0
16,0,0,0,0,2,0,0,54,0,1,3,0,294,0
1,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2,0,0,0,0,0,0,0,0,0,1,0,0,11,0
6,1,5,1,2,1,0,0,7,1,0,94,0,29,0
1,0,1,0,0,0,0,0,3,0,0,18,0,5,0
6,0,3,0,1,1,0,0,14,2,0,57,0,41,0
9,1,5,1,3,4,1,3,15,2,0,103,1,50,0
1,0,1,1,1,0,0,0,0,1,0,18,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,11,0
1,0,0,0,0,0,0,0,5,0,0,10,0,10,0
1,0,0,0,0,0,0,0,1,0,0,1,0,11,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
7,3,3,5,6,0,0,0,1,0,0,75,1,10,0
8,3,5,5,7,1,1,1,2,18,0,113,1,12,1
10,1,4,2,6,1,0,1,5,3,0,91,1,38,0
8,6,7,5,7,4,3,3,3,4,0,177,2,12,1
6,4,5,3,5,1,1,1,3,0,0,118,2,10,1
10,3,5,3,4,3,0,1,20,4,0,139,2,43,1
7,4,6,4,5,0,0,0,3,1,0,136,1,14,1
2,0,0,1,1,0,0,0,4,3,0,24,0,9,0
17,1,4,3,5,2,0,0,15,0,4,95,0,92,0
17,0,7,7,8,1,0,1,13,16,1,175,0,50,0
16,2,9,1,5,2,0,0,16,10,1,196,1,67,0
16,1,3,0,4,3,1,2,24,20,0,146,1,92,0
16,3,5,2,4,0,0,0,43,15,2,150,2,123,0
10,0,2,0,0,0,0,0,9,0,3,63,0,72,0
1,0,0,0,0,0,0,0,11,0,0,4,0,19,0
1,0,0,0,0,0,0,0,0,10,1,0,0,19,0
19,0,0,0,0,0,0,0,43,3,2,0,0,373,0
15,0,0,0,0,2,0,0,26,6,3,2,0,267,0
5,0,0,0,0,2,0,0,48,0,1,2,0,120,0
1,0,0,0,0,1,0,0,20,0,0,8,0,26,0
16,0,0,0,0,2,0,0,34,3,1,4,0,276,0
2,0,0,0,0,1,0,0,0,0,0,0,0,34,0
5,0,0,0,0,1,0,0,13,0,0,0,0,124,0
16,0,1,0,0,4,0,1,22,3,1,19,0,250,0
15,0,0,0,0,3,0,0,88,1,1,23,0,270,0
15,0,0,0,0,5,0,0,33,0,4,44,0,178,0
7,0,0,0,0,1,0,0,42,0,1,17,0,107,0
2,0,0,0,0,0,0,0,8,0,0,10,0,23,0
19,0,0,0,0,5,0,0,54,4,4,32,0,265,0
19,0,0,0,0,2,0,0,63,9,1,30,0,263,0
20,0,1,0,1,2,0,0,50,23,3,60,0,232,0
16,0,0,0,0,2,0,0,31,0,1,0,0,300,0
6,0,1,0,1,3,0,1,26,1,1,46,0,52,0
6,0,1,0,0,1,0,0,7,8,1,27,0,36,0
2,0,0,0,0,1,0,0,6,0,1,0,0,48,0
13,0,0,0,0,3,0,0,23,6,1,17,0,197,0
15,0,0,0,0,4,0,0,38,9,1,40,0,173,0
3,0,0,0,0,0,0,0,7,0,1,20,0,36,0
5,0,0,0,0,1,0,0,12,0,0,1,0,93,0
10,0,0,0,0,3,0,0,50,0,3,0,0,233,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,0,0,0,0,0,0,9,0,0,1,0,19,0
18,0,0,0,0,5,0,0,55,6,2,28,0,271,0
17,0,0,0,0,2,0,0,14,15,3,5,0,207,0
1,0,0,0,0,1,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
1,0,0,0,0,0,0,0,8,0,0,0,0,28,0
1,0,0,0,0,0,0,0,0,6,0,0,0,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
1,0,0,0,0,1,0,0,8,0,0,0,0,23,0
1,0,0,0,0,1,0,0,0,0,0,0,0,19,0
9,0,0,0,0,1,0,0,27,0,1,1,0,199,0
7,0,0,0,0,1,0,0,7,0,1,2,0,102,0
13,0,1,0,0,1,0,0,40,8,2,36,0,218,0
9,0,0,0,0,4,0,0,16,0,0,3,0,130,0
15,1,6,1,1,1,0,0,36,2,1,155,1,91,1
14,1,2,0,0,1,1,1,58,0,1,102,1,166,0
15,1,2,0,1,1,0,0,20,4,1,79,1,123,0
16,2,5,2,6,3,0,0,18,10,1,129,2,61,0
16,0,1,1,1,0,0,0,18,10,0,88,0,104,0
2,0,0,0,0,1,0,0,0,4,0,2,0,18,0
4,0,0,0,0,2,0,0,15,0,1,14,0,42,0
5,0,0,0,0,1,0,0,5,0,0,10,0,71,0
4,0,0,0,0,3,0,0,9,0,0,16,0,47,0
2,0,0,0,0,0,0,0,6,3,0,2,0,32,0
2,0,0,0,0,0,0,0,1,0,0,0,0,39,0
4,0,0,0,0,1,0,0,3,0,0,0,0,61,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
1,0,0,0,0,0,0,0,12,0,0,0,0,24,0
2,0,0,0,0,0,0,0,0,0,0,0,0,47,0
19,0,1,0,0,2,0,0,25,34,0,55,0,168,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
21,0,0,0,0,3,0,0,66,4,2,7,0,360,0
20,0,0,0,0,1,0,0,39,8,1,19,0,284,0
21,0,0,0,0,1,0,0,25,20,0,56,0,216,0
21,0,0,0,0,1,0,0,20,48,1,20,0,250,0
17,0,0,0,0,1,0,0,28,4,2,1,0,285,0
16,0,0,0,0,2,0,0,33,1,2,66,0,165,0
17,0,4,0,1,1,0,0,16,7,2,87,0,91,0
16,1,10,2,4,2,0,2,49,1,2,213,1,109,0
